iter	Passed	Remaining
401	17966	151861
402	18010	151812
403	18059	151809
404	18096	151699
405	18146	151696
406	18197	151704
407	18254	151759
408	18299	151721
409	18341	151654
410	18386	151607
411	18426	151525
412	18482	151575
413	18527	151528
414	18575	151513
415	18630	151548
416	18682	151569
417	18737	151601
418	18786	151588
419	18834	151575
420	18880	151536
421	18926	151499
422	18970	151449
423	19015	151409
424	19060	151359
425	19108	151342
426	19149	151268
427	19195	151234
428	19237	151164
429	19275	151069
430	19320	151022
431	19368	151000
432	19408	150921
433	19459	150920
434	19508	150907
435	19556	150892
436	19613	150936
437	19665	150944
438	19711	150909
439	19758	150880
440	19803	150840
441	19851	150820
442	19891	150736
443	19945	150761
444	19991	150724
445	20038	150692
446	20088	150683
447	20131	150629
448	20175	150571
449	20223	150550
450	20280	150599
451	20328	150574
452	20370	150509
453	20414	150452
454	20459	150408
455	20507	150391
456	20546	150299
457	20593	150266
458	20635	150201
459	20681	150168
460	20739	150216
461	20784	150170
462	20824	150086
463	20864	150007
464	20913	149993
465	20961	149966
466	21008	149937
467	21048	149857
468	21103	149885
469	21147	149834
470	21198	149832
471	21255	149867
472	21300	149824
473	21348	149801
474	21394	149761
475	21444	149749
476	21490	149713
477	21536	149674
478	21584	149651
479	21634	149640
480	21682	149615
481	21730	149586
482	21785	149609
483	21835	149599
484	21890	149621
485	21944	149636
486	21996	149641
487	22041	149591
488	22091	149577
489	22139	149551
490	22187	149528
491	22233	149490
492	22281	149463
493	22335	149478
494	22379	149422
495	22422	149364
496	22464	149294
497	22517	149302
498	22565	149273
499	22612	149245
500	22662	149229
501	22712	149214
502	22756	149162
503	22806	149149
504	22848	149080
505	22904	149106
506	22951	149071
507	23011	149124
508	23070	149166
509	23120	149151
510	23181	149207
511	23238	149232
512	23294	149257
513	23352	149291
514	23411	149330
515	23461	149319
516	23524	149381
517	23578	149389
518	23629	149380
519	23678	149355
520	23733	149369
521	23792	149407
522	23840	149382
523	23903	149439
524	23961	149476
525	24025	149541
526	24084	149577
527	24137	149576
528	24194	149601
529	24245	149587
530	24294	149562
531	24342	149530
532	24393	149518
533	24441	149488
534	24489	149456
535	24539	149434
536	24593	149437
537	24641	149406
538	24690	149381
539	24733	149315
540	24781	149282
541	24832	149271
542	24881	149242
543	24928	149201
544	24975	149165
545	25030	149172
546	25083	149171
547	25135	149160
548	25180	149109
549	25242	149161
550	25301	149188
551	25355	149191
552	25410	149198
553	25460	149181
554	25525	149243
555	25580	149251
556	25646	149319
557	25700	149320
558	25753	149312
559	25814	149352
560	25877	149407
561	25926	149375
562	25977	149358
563	26025	149324
564	26077	149310
565	26129	149298
566	26191	149343
567	26248	149358
568	26299	149337
569	26358	149367
570	26414	149374
571	26463	149342
572	26525	149383
573	26579	149380
574	26625	149333
575	26676	149312
576	26727	149294
577	26786	149317
578	26837	149297
579	26884	149254
580	26939	149258
581	26991	149244
582	27046	149244
583	27100	149235
584	27156	149244
585	27204	149206
586	27257	149197
587	27300	149132
588	27358	149146
589	27412	149142
590	27460	149104
591	27515	149103
592	27565	149077
593	27615	149050
594	27668	149036
595	27721	149025
596	27771	149000
597	27826	148995
598	27878	148980
599	27928	148954
600	27978	148922
601	28027	148888
602	28087	148912
603	28143	148920
604	28199	148923
605	28253	148911
606	28298	148857
607	28347	148824
608	28401	148815
609	28450	148779
610	28495	148727
611	28549	148717
612	28607	148729
613	28664	148739
614	28721	148746
615	28768	148698
616	28820	148682
617	28873	148664
618	28926	148648
619	28975	148616
620	29034	148630
621	29075	148557
622	29135	148578
623	29184	148539
624	29242	148550
625	29298	148549
626	29346	148512
627	29407	148533
628	29458	148508
629	29508	148476
630	29557	148441
631	29600	148378
632	29654	148367
633	29713	148380
634	29755	148309
635	29802	148261
636	29859	148266
637	29908	148229
638	29962	148219
639	30013	148189
640	30066	148173
641	30128	148201
642	30180	148181
643	30229	148145
644	30287	148148
645	30343	148146
646	30397	148134
647	30448	148105
648	30488	148027
649	30535	147981
650	30586	147953
651	30642	147946
652	30701	147957
653	30746	147904
654	30787	147828
655	30848	147847
656	30897	147811
657	30942	147752
658	30995	147735
659	31047	147712
660	31100	147693
661	31147	147646
662	31198	147614
663	31262	147647
664	31316	147636
665	31374	147641
666	31431	147640
667	31481	147606
668	31532	147576
669	31582	147541
670	31638	147534
671	31692	147522
672	31746	147506
673	31789	147439
674	31842	147416
675	31893	147390
676	31943	147354
677	31995	147328
678	32048	147311
679	32103	147296
680	32156	147278
681	32219	147302
682	32271	147276
683	32330	147284
684	32385	147271
685	32440	147259
686	32492	147235
687	32546	147216
688	32599	147192
689	32645	147142
690	32701	147132
691	32752	147101
692	32813	147118
693	32871	147115
694	32916	147057
695	32966	147023
696	33019	147000
697	33072	146979
698	33127	146966
699	33176	146925
700	33230	146907
701	33274	146842
702	33334	146853
703	33392	146850
704	33438	146796
705	33484	146741
706	33527	146678
707	33575	146632
708	33636	146642
709	33688	146615
710	33738	146578
711	33791	146555
712	33840	146515
713	33897	146509
714	33947	146474
715	34007	146477
716	34058	146445
717	34112	146425
718	34169	146420
719	34211	146350
720	34271	146354
721	34317	146301
722	34368	146268
723	34412	146203
724	34455	146139
725	34519	146159
726	34567	146117
727	34622	146099
728	34666	146038
729	34713	145988
730	34773	145989
731	34831	145986
732	34884	145963
733	34938	145941
734	34998	145947
735	35094	146098
736	35153	146098
737	35211	146094
738	35264	146066
739	35315	146032
740	35371	146021
741	35424	145995
742	35469	145935
743	35529	145936
744	35576	145888
745	35637	145892
746	35689	145861
747	35742	145837
748	35794	145806
749	35853	145802
750	35905	145773
751	35948	145707
752	36001	145679
753	36047	145624
754	36100	145597
755	36144	145533
756	36190	145478
757	36246	145465
758	36304	145455
759	36354	145416
760	36406	145386
761	36458	145353
762	36510	145322
763	36557	145274
764	36613	145256
765	36662	145214
766	36714	145181
767	36771	145171
768	36855	145264
769	36908	145237
770	36965	145225
771	37009	145163
772	37066	145147
773	37124	145138
774	37184	145138
775	37238	145115
776	37291	145086
777	37343	145053
778	37402	145047
779	37454	145016
780	37521	145042
781	37570	144997
782	37628	144988
783	37683	144966
784	37733	144926
785	37786	144894
786	37839	144867
787	37899	144865
788	37947	144815
789	38004	144801
790	38052	144751
791	38103	144715
792	38157	144692
793	38199	144617
794	38246	144566
795	38297	144528
796	38335	144442
797	38391	144424
798	38445	144400
799	38497	144364
800	38546	144321
801	38601	144296
802	38663	144303
803	38713	144262
804	38771	144249
805	38822	144212
806	38889	144232
807	38956	144255
808	39009	144224
809	39055	144168
810	39102	144116
811	39156	144086
812	39199	144019
813	39253	143993
814	39306	143963
815	39360	143934
816	39411	143897
817	39463	143864
818	39523	143858
819	39580	143842
820	39625	143781
821	39679	143752
822	39741	143754
823	39792	143717
824	39841	143672
825	39897	143650
826	39939	143579
827	39982	143510
828	40033	143472
829	40091	143459
830	40146	143435
831	40211	143448
832	40261	143404
833	40309	143353
834	40364	143330
835	40419	143304
836	40475	143284
837	40533	143271
838	40585	143235
839	40639	143205
840	40684	143143
841	40741	143126
842	40806	143137
843	40871	143146
844	40924	143113
845	40980	143094
846	41036	143069
847	41085	143023
848	41139	142993
849	41192	142962
850	41246	142931
851	41296	142888
852	41360	142895
853	41410	142851
854	41458	142800
855	41504	142744
856	41566	142743
857	41618	142706
858	41674	142682
859	41728	142654
860	41782	142622
861	41839	142605
862	41891	142568
863	41951	142557
864	42009	142542
865	42059	142497
866	42119	142487
867	42168	142439
868	42223	142412
869	42278	142384
870	42350	142414
871	42397	142361
872	42452	142336
873	42505	142301
874	42551	142243
875	42591	142164
876	42646	142139
877	42696	142094
878	42751	142068
879	42799	142017
880	42853	141987
881	42904	141944
882	42956	141908
883	43009	141874
884	43062	141839
885	43110	141787
886	43161	141746
887	43218	141724
888	43273	141698
889	43326	141662
890	43381	141633
891	43437	141609
892	43478	141536
893	43530	141499
894	43581	141457
895	43637	141431
896	43685	141379
897	43727	141312
898	43780	141276
899	43840	141262
900	43904	141262
901	43961	141241
902	44022	141232
903	44068	141176
904	44127	141159
905	44188	141148
906	44244	141125
907	44286	141054
908	44334	141001
909	44394	140988
910	44437	140923
911	44494	140897
912	44554	140885
913	44605	140845
914	44658	140807
915	44713	140780
916	44767	140747
917	44822	140717
918	44881	140700
919	44930	140651
920	44982	140614
921	45040	140594
922	45085	140531
923	45143	140510
924	45194	140469
925	45236	140399
926	45289	140362
927	45352	140357
928	45408	140332
929	45453	140270
930	45511	140249
931	45560	140201
932	45612	140161
933	45667	140133
934	45719	140092
935	45767	140039
936	45814	139985
937	45869	139955
938	45920	139913
939	45978	139891
940	46039	139879
941	46096	139854
942	46149	139819
943	46205	139792
944	46252	139737
945	46302	139689
946	46359	139665
947	46416	139640
948	46465	139593
949	46520	139560
950	46580	139545
951	46627	139489
952	46682	139458
953	46735	139423
954	46778	139355
955	46826	139304
956	46878	139263
957	46915	139180
958	46970	139149
959	47024	139114
960	47074	139068
961	47134	139050
962	47183	139003
963	47249	139003
964	47297	138952
965	47344	138897
966	47407	138888
967	47465	138864
968	47509	138803
969	47565	138772
970	47622	138748
971	47671	138697
972	47719	138645
973	47772	138607
974	47823	138565
975	47875	138524
976	47927	138483
977	47971	138419
978	48021	138374
979	48064	138309
980	48121	138281
981	48174	138244
982	48231	138217
983	48278	138161
984	48328	138116
985	48380	138075
986	48429	138026
987	48473	137964
988	48520	137907
989	48566	137851
990	48615	137800
991	48660	137741
992	48706	137683
993	48751	137621
994	48795	137559
995	48840	137497
996	48886	137440
997	48931	137380
998	48973	137313
999	49024	137269
1000	49071	137215
1001	49116	137152
1002	49158	137085
1003	49200	137017
1004	49245	136955
1005	49303	136932
1006	49354	136888
1007	49407	136850
1008	49450	136784
1009	49491	136713
1010	49538	136659
1011	49584	136602
1012	49630	136546
1013	49671	136475
1014	49721	136428
1015	49768	136373
1016	49816	136322
1017	49856	136248
1018	49905	136199
1019	49951	136141
1020	49994	136077
1021	50047	136040
1022	50090	135972
1023	50149	135952
1024	50200	135909
1025	50251	135865
1026	50303	135825
1027	50346	135759
1028	50394	135706
1029	50442	135656
1030	50489	135602
1031	50540	135558
1032	50590	135510
1033	50639	135461
1034	50699	135443
1035	50743	135380
1036	50791	135330
1037	50829	135252
1038	50878	135202
