iter	MedianAPE	Quantile:alpha=0.9
0	137.8831574	0.2254511732
1	133.6529475	0.2200064618
2	130.1039496	0.2148290943
3	126.4307164	0.2095477833
4	122.9222731	0.2043433571
5	119.749187	0.1996569853
6	116.5521104	0.1949004816
7	112.9273828	0.1903214127
8	109.4597478	0.1859170015
9	106.5089547	0.1816507427
10	103.4038215	0.1775387934
11	100.6342708	0.173607478
12	97.8227496	0.1698708164
13	95.26745949	0.1662102571
14	92.94541604	0.1627494131
15	90.67385854	0.1594066104
16	88.43353908	0.1564160749
17	86.39307405	0.1536078164
18	84.38429352	0.1507360534
19	82.40059486	0.1479790035
20	80.5535492	0.1454657427
21	78.82400317	0.1429591912
22	77.19165757	0.1406059634
23	75.67441947	0.1383673099
24	74.14342332	0.1360636888
25	72.75223226	0.1339097753
26	71.50930066	0.1318597727
27	70.15503259	0.1297758349
28	68.69719808	0.1276644197
29	67.41084502	0.1257214215
30	66.18307871	0.1238866639
31	64.98473047	0.1221853757
32	63.83622614	0.1204804175
33	62.61075791	0.1186619641
34	61.51389338	0.1170057937
35	60.44251644	0.1153983641
36	59.19001263	0.1138038752
37	58.20572809	0.1122624304
38	57.26959767	0.1107004357
39	56.26683546	0.1092189105
40	55.44246779	0.1078173851
41	54.67227955	0.1064668671
42	53.70972322	0.1050077431
43	52.87229547	0.1037066851
44	51.96415954	0.1023217513
45	51.10862774	0.1009580078
46	50.3921022	0.09968294843
47	49.67875701	0.09858525258
48	49.02277157	0.09753755765
49	48.28770399	0.09637895996
50	47.57437255	0.09528884661
51	46.89119327	0.09412391257
52	46.36797669	0.09325903014
53	45.79930658	0.092363601
54	45.23013188	0.09149902639
55	44.70746025	0.09056391085
56	44.11092058	0.0896792518
57	43.65039489	0.08889333815
58	43.11263129	0.08808644792
59	42.62155904	0.08729406056
60	42.0392962	0.08638171514
61	41.49782407	0.08561928784
62	40.97895351	0.08486063958
63	40.52609897	0.08420992094
64	40.01529287	0.08333876871
65	39.55361434	0.0825144407
66	39.01226861	0.08172229614
67	38.56037753	0.08093236501
